match_id,source_id,canonical_item_id,deck,hebrew,italian,match_type,match_confidence,context_excerpt,review_status
streetwise_unmatched_76dbdea09b253916,streetwise_episode_f068574b68f2668f,,,,,unmatched_hebrew_page,low,"The word רועד means shivering, shaking, and in this episode Guy explains its meaning and usage. Along the way we learn to say earthquake, and vibrato.",source_only
streetwise_match_89ca5b8caa640cbc,streetwise_episode_5a2906adc7fb4819,cclex_2f1fa2ab4faddaa5,Lime,אני רוצה,io (m.) - presente di volere,normalized_hebrew_phrase,medium,...ל נגד עכברים רעל נגד חולדות ניקוי רעלים סדנת ניקוי רעלים רעלן נוגד רעלנים רוח הלחימה רה ל אני רוצה לראות רעל בעיניים רעיל חומרים רעילים סביבת עבודה רעילה אווירה רעילה בעבודה מערכת יחס,draft_unverified
streetwise_match_c091c5aa09a01768,streetwise_episode_5a2906adc7fb4819,cclex_5e0a07d4a22c57a3,Green,מערכת יחסים,relazione,normalized_hebrew_phrase,medium,...רה ל אני רוצה לראות רעל בעיניים רעיל חומרים רעילים סביבת עבודה רעילה אווירה רעילה בעבודה מערכת יחסים רעילה בנאדם רעיל חשש שהאיראנים ינסו להרעיל את מקורות המים בישראל להרעיל מישהו להרע,draft_unverified
streetwise_match_498f1537d9ea1171,streetwise_episode_acc9dab94ebaf743,cclex_e9dbe91ce217628f,Blue,אירוע,evento (m.); avvenimento (m.),exact_lexical_entry,high,"The Hebrew word אירוע means an event, most often a happy event, like a wedding or bar/bat mitzvah. But its usage has changed lately. Guy explains.",draft_unverified
streetwise_match_976eb2e55e85fb5c,streetwise_episode_acc9dab94ebaf743,cclex_d95b8bcd1961a2aa,Lime,אתם עושים,voi (m.) - presente di fare,normalized_hebrew_phrase,medium,אירוע אירוע ירי אירוע דקירה אירוע מתגלגל יש לי אירוע סליחה אתם עושים אירועים וואי יש לי מלא אירועים החודש בין עבודות אירוע חברה להזמנת אירועים אירוע הוקרה איר...,draft_unverified
streetwise_unmatched_bd818507090b18aa,streetwise_episode_9226c2b436b3cc76,,,,,unmatched_hebrew_page,low,The Hebrew word פרסס is what you'd use in a sentence to ask a driver to make a U-turn. But what does it mean in slang? Guy explains.,source_only
streetwise_match_7a78c56a0ac8c2d2,streetwise_episode_3db3e39184480d35,cclex_c0af79667371f8ec,Orange,לא משנה,non importa,normalized_hebrew_phrase,medium,...ו ל איך פונים לאנשים לא מפריע לי שפונים אליי בלשון זכר לא מפריע לי שפונים אליי בלשון נקבה לא משנה לי איך פונים אליי תפנה אליי בגבר תפנה אליי באישה יכול להיות שיפנו אליי יותר בנקבה באו,draft_unverified
streetwise_match_7f4ee083778b1c59,streetwise_episode_3db3e39184480d35,cclex_a75786dea7a060f5,Orange,יכול להיות,può essere,normalized_hebrew_phrase,medium,...מפריע לי שפונים אליי בלשון נקבה לא משנה לי איך פונים אליי תפנה אליי בגבר תפנה אליי באישה יכול להיות שיפנו אליי יותר בנקבה באותו יום ואנחנו רוצים לפנות עכשיו לכתבת שלנו בשטח מי שצריך ע,draft_unverified
streetwise_match_1d27a81eb1ba75eb,streetwise_episode_3db3e39184480d35,cclex_0dac2c497474e1d7,Lime,לפנות,liberare / sgomberare,exact_lexical_entry,high,Lifnot – To turn – לפנות,draft_unverified
streetwise_match_e0d13d1f07fc4a25,streetwise_episode_3db3e39184480d35,cclex_a28361bbb20a6333,Purple,לפנות,girare; voltare; trasformare,exact_lexical_entry,high,Lifnot – To turn – לפנות,draft_unverified
streetwise_match_0bfdeabbd1422109,streetwise_episode_63d35f94fc9ae153,cclex_6784f73ae6760c17,Dark Green,הפתעה,sorpresa,exact_lexical_entry,high,Hafta'ah – Surprise – הפתעה,draft_unverified
streetwise_unmatched_a672b456b024d45e,streetwise_episode_20cd94a37433d0d2,,,,,unmatched_hebrew_page,low,"From antique cars to very slow, local buses, Guy picks up where we left off in the last episode and explains additional בניינים from the root אספ.",source_only
streetwise_match_2f5427b73bfb3be2,streetwise_episode_82c6e7af97b5f8be,cclex_1fc36b9094bd6f81,Indigo,שיער אסוף,capelli raccolti,exact_lexical_entry,high,Se'ar asoof – (Wearing your) hair up – שיער אסוף,draft_unverified
streetwise_unmatched_4d1e74ad8ef73976,streetwise_episode_09a798e508b19c80,,,,,unmatched_hebrew_page,low,"What's the right way to pack a suitcase and what should you say to airport security when asked about your packed bags? From the root ארז we get the Hebrew words for packaging, gift",source_only
streetwise_match_4f0e5c9b484c416b,streetwise_episode_f50100a8b8d50731,cclex_f65f6afba69a6f13,Lime,סדרה,serie TV,exact_lexical_entry,high,Sidra – Series – סדרה,draft_unverified
streetwise_unmatched_134d61ba8077e0d8,streetwise_episode_5765efc36400277e,,,,,unmatched_hebrew_page,low,"The Hebrew word יוזמה means initiative. We also use יוזמה when talking about new educational or social projects. Using the verb ליזום, we Israelis often give unsolicited advice to ",source_only
streetwise_match_1cc1dc0350d887b8,streetwise_episode_591710680ca3f44d,cclex_f4b8db213cf7a4bb,Lime,אתם רואים,voi (m.) - presente di vedere,normalized_hebrew_phrase,medium,טניס שולחן המשחקים האולימפיים האולימפיאדה אתם רואים ת אולימפיאדה אגב תחרות תחרויות לנצח להפסיד טקס הפתיחה המשלחת הישראלית הנבחרת הישראלית האת...,draft_unverified
streetwise_match_82927f8633622cde,streetwise_episode_591710680ca3f44d,cclex_ffd3a0efee2f52dd,Dark Green,"תחרות, תחרויות",gara; competizione,exact_lexical_entry,high,"Tacharut, tacharuyot – Competition, competitions – תחרות, תחרויות",draft_unverified
streetwise_unmatched_345f597f076392e2,streetwise_episode_c33d42ff32556f84,,,,,unmatched_hebrew_page,low,The Hebrew word מתווך means a real estate agent. Some people really really dislike מתווכים. Let's learn why.,source_only
streetwise_unmatched_eb568dc79e96ae93,streetwise_episode_0d3820f673e51562,,,,,unmatched_hebrew_page,low,Zachar o nekava? – Is it male or female? – זכר או נקבה,source_only
streetwise_unmatched_14360af3b45d2a60,streetwise_episode_fb906bb1483c27ec,,,,,unmatched_hebrew_page,low,Lishkol – To weigh – לשקול,source_only
streetwise_match_0946b48f69b0c60a,streetwise_episode_db7900424cf046cd,cclex_87291ebf99ed88f1,Lime,את נותנת,tu (f.) - presente di dare,normalized_hebrew_phrase,medium,...טבח משקל נגד שיווי משקל ואין לך רגע של שיווי משקל היא איבדה את שיווי המשקל ונפלה אתה נותן את נותנת לזה יותר מדיי משקל משקל נוצה משקל כבד משקל אימון משקולות,draft_unverified
streetwise_match_6b73891d133f10e8,streetwise_episode_ac6840c82976a468,cclex_4a20311e7cd19b32,Red,אין בעיה,nessun problema / non c'è problema,exact_lexical_entry,high,Ein be'aya – No problem – אין בעיה,draft_unverified
streetwise_match_253b21f9a461b9ec,streetwise_episode_ac6840c82976a468,cclex_0a35822f569bf2a8,Dark Green,שטויות,sciocchezze / assurdità,exact_lexical_entry,high,Shtuyot – Nonsense – שטויות,draft_unverified
streetwise_match_06396a92c0815c9f,streetwise_episode_ac6840c82976a468,cclex_ef721a885d2aaba6,Purple,בקטנה,niente di grave; non è importante,exact_lexical_entry,high,Ba-ktana – Nothing major – בקטנה,draft_unverified
streetwise_unmatched_29ffc3fed2a01bc9,streetwise_episode_4bba2adfda188605,,,,,unmatched_hebrew_page,low,"Masri'ach – Stinky, smelly – מסריח",source_only
streetwise_match_baa3f004e71a778d,streetwise_episode_0a8f680a9687e29f,cclex_f9c36cd14f4d0d02,Dark Green,לחסום את,bloccare,normalized_hebrew_phrase,medium,...א מזהה אותי תעודה מזהה שירים שהשזאם לא מזהה הראשון שמזהה ציפור לא מזוהה מספר לא מזוהה איך לחסום את השיחות עב ם עצם בלתי מזוהה להזדהות תזדהה תזדהי תזדהו להזדהות עם מישהו אתה אומר שאתה ,draft_unverified
streetwise_match_3dd70f8c79b6a502,streetwise_episode_0a8f680a9687e29f,cclex_9c87da4e3ea15c3d,Indigo,לחסום את,bloccare,normalized_hebrew_phrase,medium,...א מזהה אותי תעודה מזהה שירים שהשזאם לא מזהה הראשון שמזהה ציפור לא מזוהה מספר לא מזוהה איך לחסום את השיחות עב ם עצם בלתי מזוהה להזדהות תזדהה תזדהי תזדהו להזדהות עם מישהו אתה אומר שאתה ,draft_unverified
streetwise_match_a32f2414f0538d6a,streetwise_episode_0a8f680a9687e29f,cclex_c46c16997286ea54,Indigo,לזהות את...,identificare / riconoscere,normalized_hebrew_phrase,medium,זהה זיהוי פנים זיהוי פלילי מעבדה לזיהוי פלילי מז פניקים זיהוי קולי לזהות את ה לא מזהה אותי תעודה מזהה שירים שהשזאם לא מזהה הראשון שמזהה ציפור לא מזוהה מספר לא מזוהה...,draft_unverified
streetwise_match_28ff427689baf28f,streetwise_episode_0a8f680a9687e29f,cclex_39ac5c2550134301,Purple,...להזדהות עם,identificarsi con; riconoscersi in,normalized_hebrew_phrase,medium,...לא מזוהה מספר לא מזוהה איך לחסום את השיחות עב ם עצם בלתי מזוהה להזדהות תזדהה תזדהי תזדהו להזדהות עם מישהו אתה אומר שאתה מזדהה איתה רגשית הזדהות עצרת הזדהות עצרת הזדהות עם החטופים,draft_unverified
streetwise_unmatched_918c513dfe9603b0,streetwise_episode_ead7d8dd96746952,,,,,unmatched_hebrew_page,low,"The Hebrew word זהות means identity. It's a word we Israelis use many times throughout the day, like any time we call customer service in Israel. Any guesses as to why?",source_only
streetwise_match_e8f1f9f1751766c9,streetwise_episode_624dab47a9cfc7d6,cclex_540298f375effefd,Pink,יש מצב,può essere / è possibile / forse,normalized_hebrew_phrase,medium,...לה דחינו לדחות דוחה דוחה דוחים דוחות לדחות הצעה זה בסדר אם נדחה למחר זה בסדר אם נדחה למחר יש מצב לדחות את זה ליום שני בוא נזיז את זה ליום אחר בסוף דחו את זה זה נדחה דחייה עיכוב בטיסה ,draft_unverified
streetwise_unmatched_ce9fd038ad151473,streetwise_episode_9ff3834e8a32c030,,,,,unmatched_hebrew_page,low,"The Hebrew words להתיישב and לשבת are both translated as 'to sit down', but they are not used in the same manner. And how are these words related to the West Bank? Guy explains.",source_only
streetwise_match_807d66bff30916af,streetwise_episode_ccd3a4469038df79,cclex_e1671aee9ff4bb2a,Orange,לשבת,sedersi,exact_lexical_entry,high,"The word לשבת means to sit, and there's a plethora of uses for this verb in Hebrew. We'll be talking about jails and cafes, dog trainers, Ottoman Jews, and restaurant hosts, all in",draft_unverified
streetwise_match_5878678e3f2f7b8d,streetwise_episode_ccd3a4469038df79,cclex_bd19efbb0d5e8be8,Orange,יושב,"sedersi / stare seduto (presente, m. sing.)",exact_lexical_entry,high,Yoshev – Sitting – יושב,draft_unverified
streetwise_match_74d20915112c4854,streetwise_episode_ccd3a4469038df79,cclex_1925e535cc4334b8,Lime,לשבת,sedersi,exact_lexical_entry,high,"The word לשבת means to sit, and there's a plethora of uses for this verb in Hebrew. We'll be talking about jails and cafes, dog trainers, Ottoman Jews, and restaurant hosts, all in",draft_unverified
streetwise_match_23b1eadb0f45cccc,streetwise_episode_ccd3a4469038df79,cclex_8db5f58ac6eb7d06,Lime,אתם יושבים,voi (m.) - presente di sedersi,normalized_hebrew_phrase,medium,...הגדר יושב עליי בול יושב עליך עלייך בול איך זה יושב עליי לא יודע זה לא יושב עליי טוב איפה אתם יושבים יושבים שבעה איפה אתם יושבים הוא יושב בכלא על מה הוא יושב היא יושבת יושב יושבת ראש י,draft_unverified
streetwise_unmatched_6a8aa9cc81ec49b7,streetwise_episode_b10dd95a15ad41ab,,,,,unmatched_hebrew_page,low,The Hebrew word ארץ means land/country. But it changes when we add prepositions to it. It's also an important word if you are training your dog to lie on the floor. Guy explains.,source_only
streetwise_match_ef02f6de4eec7ba7,streetwise_episode_c0ed99c8127db1fa,cclex_b60fe3f9ae66dceb,Red,סליחה,scusa / mi scusi,exact_lexical_entry,high,Slicha – Excuse me – סליחה,draft_unverified
streetwise_match_c01ba91e7971cf41,streetwise_episode_8fa7a08ad3c48a1f,cclex_12bb3d395fce8583,Dark Green,לתרגם,tradurre,exact_lexical_entry,high,"The Hebrew word לתרגם, to translate, is a handy verb, especially if you live in Israel and go to the cinema. Why? Because you want to make sure the Israeli film you're about to wat",draft_unverified
streetwise_match_e92f1f14442fe53d,streetwise_episode_8fa7a08ad3c48a1f,cclex_e748650c1b4c1849,Dark Green,תרגום,traduzione,exact_lexical_entry,high,Tirgoom – Translating – תרגום,draft_unverified
streetwise_match_95bf99bc9eb1ff35,streetwise_episode_430b013ff6d1c480,cclex_b85037400ce01b3f,Lime,אתם יודעים,voi (m.) - presente di sapere / conoscere,normalized_hebrew_phrase,medium,לצאת מדיכאון דיכאון אתם יודעים מה הדרך הכי טובה לצאת מדיכאון דיכאון דכאונות לצאת מדיכאון להיכנס לדיכאון לא נכנסתי לדיכאו...,draft_unverified
streetwise_match_c8e2538355a2bb5c,streetwise_episode_430b013ff6d1c480,cclex_20451616ff10ddce,Indigo,רגש / רגשות,emozione/i,normalized_hebrew_phrase,medium,...און לא נכנסתי לדיכאון מזה זה שיר אופטימי זה לא שיר מדכא המצב מדכא לדכא מדכא לדכא מרד לדכא רגש רגשות מדוכא דכאוני הוא בנאדם מה זה דכאוני אל תיכנסו לי לדיכאון,draft_unverified
streetwise_match_48db27de9fbde888,streetwise_episode_0760059b018814d4,cclex_8f5c91ac62646ae1,Dark Green,לשחרר,liberare,exact_lexical_entry,high,"Leshachrer – To release, to free, to liberate – לשחרר",draft_unverified
streetwise_match_5e35aec1a508dca3,streetwise_episode_0760059b018814d4,cclex_9911c83b6cf6cc59,Indigo,לשחרר את,liberare / rilasciare,normalized_hebrew_phrase,medium,לשחרר לשחרר לשחרר ישראלים קוראים לממשלה לעשות הכל כדי לשחרר את החטופים מהחמאס משחררים צבי לטבע הם משחררים צבי ים לטבע לא משחרר אותנו צחוק משחרר שחרר אות...,draft_unverified
streetwise_match_b9a8f09d0e8041b2,streetwise_episode_bc23e1e3cd74d9d6,cclex_c0af79667371f8ec,Orange,לא משנה,non importa,normalized_hebrew_phrase,medium,...ה השתחררת אמרתי שהייתה לי חרדה מהנשק ואז הם כזה באמת או שסתם עשית כדי להשתחרר תשתחרר העבר לא משנה יותר השתחררות מחניקה השתחררות מהאגו,draft_unverified
streetwise_unmatched_c6e05656bc77660e,streetwise_episode_dd63a6d544cf3e95,,,,,unmatched_hebrew_page,low,Hiuyooch male shinayim – A smile full of teeth – חיוך מלא שיניים,source_only
streetwise_match_3e6b3f5cc4e823d3,streetwise_episode_ba060c5c7d7e1f15,cclex_b94f0a6f231516a3,Purple,לעודד את,incoraggiare; tifare per,normalized_hebrew_phrase,medium,עידוד שיר עידוד מילות עידוד הקרן לעידוד יוזמות חינוכיות הקרן לעידוד ש ע אנחנו רוצים לעודד את המורים והתלמידים לחשוב מחוץ לתבניות לעודד כמו לסובב לפוצץ לאותת מעודדות מעודד החיילים מעו...,draft_unverified
streetwise_unmatched_9c92a91db7aad44b,streetwise_episode_425fa9da37f80b9f,,,,,unmatched_hebrew_page,low,Retsu'at aza – The Gaza Strip – רצועת עזה,source_only
streetwise_match_01ffa5d2740d771d,streetwise_episode_c70fd81f55217255,cclex_6453c662de384cfb,Red,מה קרה,cosa è successo?,normalized_hebrew_phrase,medium,לתקשר עם חברים וקרובים ואיך להביע דאגה ותמיכה שמעתי מה קרה שמעתי מה קורה בארץ עכשיו עצוב כל כך עצוב זה נורא זה בלתי נתפס זה לא ייאמן זה מצב מחריד אי...,draft_unverified
streetwise_match_5a4be21ead805595,streetwise_episode_c70fd81f55217255,cclex_8d0ea44f0fb3dbda,Red,מה קורה,cosa succede? / come va?,normalized_hebrew_phrase,medium,לתקשר עם חברים וקרובים ואיך להביע דאגה ותמיכה שמעתי מה קרה שמעתי מה קורה בארץ עכשיו עצוב כל כך עצוב זה נורא זה בלתי נתפס זה לא ייאמן זה מצב מחריד אין לי מילים נגמ...,draft_unverified
streetwise_match_9b7f316a767b3948,streetwise_episode_c70fd81f55217255,cclex_0bc3d296dc1a9d55,Blue,תמיכה,supporto (m.); sostegno (m.); appoggio (m.),exact_lexical_entry,high,Tmicha – Support – תמיכה,draft_unverified
streetwise_match_68e7a0c5b6d4ca64,streetwise_episode_c70fd81f55217255,cclex_17d60bfab5242113,Blue,לקוות,sperare; auspicare,exact_lexical_entry,high,Lekavot – To hope – לקוות,draft_unverified
streetwise_match_fa07f51e2a298195,streetwise_episode_c70fd81f55217255,cclex_3aeee8c03311c844,Lime,לקוות,sperare,exact_lexical_entry,high,Lekavot – To hope – לקוות,draft_unverified
streetwise_match_de227e6ecd9c5e96,streetwise_episode_c70fd81f55217255,cclex_4bdf8cf6723cf755,Lime,אני דואג,io (m.) - presente di preoccuparsi,normalized_hebrew_phrase,medium,...צוב כל כך עצוב זה נורא זה בלתי נתפס זה לא ייאמן זה מצב מחריד אין לי מילים נגמרו לי המילים אני דואג נורא אנחנו דואגים לך לכם כולם בסדר תמיכה אני איתך אני אתכם אנחנו אתכם אנחנו חושבים ע,draft_unverified
streetwise_match_520b50d2865985c8,streetwise_episode_c70fd81f55217255,cclex_0b9c0c7ee9f8adee,Lime,אנחנו חושבים,noi (m.) - presente di pensare,normalized_hebrew_phrase,medium,...לי המילים אני דואג נורא אנחנו דואגים לך לכם כולם בסדר תמיכה אני איתך אני אתכם אנחנו אתכם אנחנו חושבים עליכם כל הזמן במה אפשר לעזור אם אתם צריכים משהו אנחנו פה תקווה לקוות אני מקווה שי,draft_unverified
streetwise_match_dd09927d56ea3f0a,streetwise_episode_c70fd81f55217255,cclex_ebcd0e2cffd92f3b,Lime,אנחנו דואגים,noi (m.) - presente di preoccuparsi,normalized_hebrew_phrase,medium,...זה נורא זה בלתי נתפס זה לא ייאמן זה מצב מחריד אין לי מילים נגמרו לי המילים אני דואג נורא אנחנו דואגים לך לכם כולם בסדר תמיכה אני איתך אני אתכם אנחנו אתכם אנחנו חושבים עליכם כל הזמן במ,draft_unverified
streetwise_match_1fbcabdafaa68434,streetwise_episode_c70fd81f55217255,cclex_97e958b09fdee158,Purple,בלתי נתפס,incomprensibile; inimmaginabile,normalized_hebrew_phrase,medium,...ם ואיך להביע דאגה ותמיכה שמעתי מה קרה שמעתי מה קורה בארץ עכשיו עצוב כל כך עצוב זה נורא זה בלתי נתפס זה לא ייאמן זה מצב מחריד אין לי מילים נגמרו לי המילים אני דואג נורא אנחנו דואגים לך,draft_unverified
streetwise_match_b8f92249b979f282,streetwise_episode_456754be10c323b5,cclex_38c485a1f04f6d74,Blue,מבצע,operazione (f.); azione (f.),exact_lexical_entry,high,Mivtsa – Operation – מבצע,draft_unverified
streetwise_match_5aabe37c413f143e,streetwise_episode_456754be10c323b5,cclex_0280f33b2ce97057,Indigo,מבצע,promozione / saldo; campagna o operazione militare,exact_lexical_entry,high,Mivtsa – Operation – מבצע,draft_unverified
streetwise_match_d48d63277167dab7,streetwise_episode_2600a4e8b63bf6ad,cclex_b3e25ced92a7f175,Yellow,מה לעשות,che fare?,normalized_hebrew_phrase,medium,...ת משמעויות כפל משמעות משמעת משמעת בכיתה הייתי בטוחה שמשמעת זה לא הכיוון לא רוצה שיגידו לי מה לעשות מתי לבוא ילד עם בעיות משמעת משמעת עצמית ועדת משמעת חד משמעי חד משמעית שמועה שמועות ה,draft_unverified
streetwise_match_4903c039af38545a,streetwise_episode_2600a4e8b63bf6ad,cclex_4ee1c368814b3258,Turquoise,חד משמעית,definitely,exact_lexical_entry,high,"Chad-mashma'it – Unequivocally, totally – חד משמעית",draft_unverified
streetwise_match_7cbeaa111d41426a,streetwise_episode_2600a4e8b63bf6ad,cclex_457e15c444c389de,Purple,"חד משמעי, חד משמעית",conclusivo; univoco; definitivo,normalized_hebrew_phrase,medium,...ה לא הכיוון לא רוצה שיגידו לי מה לעשות מתי לבוא ילד עם בעיות משמעת משמעת עצמית ועדת משמעת חד משמעי חד משמעית שמועה שמועות הכל שמועות אל תאמינו לשמועות סלב סלבים הסוף לשמועות שמע ערוצי,draft_unverified
streetwise_match_dab8bb26bb5c8be6,streetwise_episode_2600a4e8b63bf6ad,cclex_a7cff884f1dbc678,Purple,!חד משמעית,totalmente; completamente; veramente,exact_lexical_entry,high,"Chad-mashma'it – Unequivocally, totally – חד משמעית",draft_unverified
streetwise_unmatched_5c27ba98db6662db,streetwise_episode_1e5ebdc0cde82747,,,,,unmatched_hebrew_page,low,Miao – Meow – מיאו,source_only
streetwise_match_9f700e8ca421d3b6,streetwise_episode_227b934e9cc912c6,cclex_5343980c3aa708b8,Red,כל יום,ogni giorno,normalized_hebrew_phrase,medium,איזה חמור הייתי אין חיה כזאת איזה חמור אני איזה חמור הייתי נעבוד כמו חמורים אני עובד כל יום כמו חמור יא כלב יא כלב אתה נוסע שוב לחו ל כלבה להיות צ ילבות מה אתן צ ילבות עכשיו לא מדבר...,draft_unverified
streetwise_match_4f2e05a5a0cb7648,streetwise_episode_227b934e9cc912c6,cclex_70c63707432f7c46,Lime,אני עובד,io (m.) - presente di lavorare,normalized_hebrew_phrase,medium,איזה חמור הייתי אין חיה כזאת איזה חמור אני איזה חמור הייתי נעבוד כמו חמורים אני עובד כל יום כמו חמור יא כלב יא כלב אתה נוסע שוב לחו ל כלבה להיות צ ילבות מה אתן צ ילבות עכשיו...,draft_unverified
streetwise_match_314fff310c42c886,streetwise_episode_2f5bcb32b8e1efa7,cclex_89023ac2b2f85997,Orange,ירק,green,exact_lexical_entry,high,Yerek – Greens – יֶרֶק,draft_unverified
streetwise_match_c3e4fb1551f24a3e,streetwise_episode_241387d256473061,cclex_f6e980830ecaeccf,Orange,בחוץ,fuori,exact_lexical_entry,high,Ba-huts – Outside – בחוץ,draft_unverified
