patch_id,audit_row_number,deck,citizen_level,source_row,front,front_original,back_original,current_back,current_flags,docker_safe_back,docker_safe_flags,docker_final_back,docker_final_flags,recommended_choice,choice,custom_back,custom_flags,notes
BP0014,10166,Blue,6,15,לשכנע,לשכנע,to convince,to convince,needs_italian_review,convincere; persuadere,,convincere; persuadere,semantic_review,docker_safe,,,,
BP0015,10167,Blue,6,16,בועה,בועה,bubble,bubble,needs_italian_review,bolla (f.); bollicina (f.),,bolla,,docker_safe,,,,
BP0016,10168,Blue,6,17,להאשים,להאשים,to accuse,to accuse,needs_italian_review,accusare; imputare,,accusare; imputare,semantic_review,docker_safe,,,,
BP0017,10169,Blue,6,18,תמיכה,תמיכה,support,support,needs_italian_review,supporto (m.); sostegno (m.); appoggio (m.),,supporto,,docker_safe,,,,
BP0018,10170,Blue,6,19,להחזיר,להחזיר,to return something,to return something,needs_italian_review,restituire; ritornare,,,missing_from_docker_final,docker_safe,,,,
BP0019,10171,Blue,6,20,להסתיר,להסתיר,to hide something,to hide something,needs_italian_review,nascondere; occultare,,nascondere; occultare,semantic_review,docker_safe,,,,
BP0020,10172,Blue,6,21,לחשוף,לחשוף,to reveal,to reveal,needs_italian_review,rivelare; scoprire; mostrare,,,missing_from_docker_final,docker_safe,,,,
BP0021,10173,Blue,6,22,לגלות,לגלות,to find out,to find out,needs_italian_review,scoprire; venire a sapere,,,missing_from_docker_final,docker_safe,,,,
BP0022,10174,Blue,6,23,מתוח,מתוח,tense,tense,needs_italian_review,teso; rigido; tensione (f.),,teso,,docker_safe,,,,
BP0023,10175,Blue,6,24,להעיף,להעיף,to get rid of something,to get rid of something,needs_italian_review,sbarazzarsi di qualcosa; liberarsi,,sbarazzarsi di qualcosa; liberarsi,semantic_review,docker_safe,,,,
BP0024,10176,Blue,6,25,מהפיכה,מהפיכה,revolution,revolution,needs_italian_review,rivoluzione (f.); sovvertimento (m.),,rivoluzione,,docker_safe,,,,
BP0025,10177,Blue,6,26,ארנק,ארנק,wallet,wallet,needs_italian_review,portafoglio (m.); borsellino (m.),,,missing_from_docker_final,docker_safe,,,,
BP0026,10178,Blue,6,27,להתעלם,להתעלם,to ignore,to ignore,needs_italian_review,ignorare; non prestare attenzione,,ignorare; non prestare attenzione,semantic_review,docker_safe,,,,
BP0027,10179,Blue,6,28,נעלם,נעלם,disappeared,disappeared,needs_italian_review,scomparso; sparito,,scomparso,,docker_safe,,,,
BP0028,10180,Blue,6,29,לוודא,לוודא,to make sure,to make sure,needs_italian_review,assicurarsi; controllare; verificare,,assicurarsi; controllare; verificare,semantic_review,docker_safe,,,,
BP0029,10181,Blue,6,30,להמציא,להמציא,to invent,to invent,needs_italian_review,inventare; creare,,,missing_from_docker_final,docker_safe,,,,
BP0030,10182,Blue,6,31,תקציב,תקציב,budget,budget,needs_italian_review,bilancio (m.); budget (m.),,,missing_from_docker_final,docker_safe,,,,
BP0031,10183,Blue,6,32,לבכות,לבכות,to cry,to cry,needs_italian_review,gridare; piangere,,gridare; piangere,semantic_review,docker_safe,,,,
BP0032,10184,Blue,6,33,בוגד,בוגד,cheater,cheater,needs_italian_review,imbroglione (m.); truffatore (m.),,imbroglione,,docker_safe,,,,
BP0033,10185,Blue,6,34,לבהות,לבהות,to stare,to stare,needs_italian_review,fissare; guardare intensamente,,fissare; guardare intensamente,semantic_review,docker_safe,,,,
BP0034,10186,Blue,6,35,להזיע,להזיע,to sweat,to sweat,needs_italian_review,sudare; trasudare,,sudore,,docker_safe,,,,
BP0035,10187,Blue,6,36,ליתר בטחון,ליתר בטחון,to be on the safe side,to be on the safe side,needs_italian_review,stare al sicuro; non correre rischi,,stare al sicuro; non correre rischi,semantic_review,docker_safe,,,,
BP0036,10188,Blue,6,37,להרים,להרים,to lift,to lift,needs_italian_review,sollevare; alzare; innalzare,,,missing_from_docker_final,docker_safe,,,,
BP0037,10189,Blue,6,38,להתחלק,להתחלק,to share,to share,needs_italian_review,condividere; dividere,,condividere; dividere,semantic_review,docker_safe,,,,
BP0038,10190,Blue,6,39,פנים מול פנים,פנים מול פנים,Face to face,Face to face,needs_italian_review,faccia a faccia; vis-à-vis,,faccia,,docker_safe,,,,
BP0039,10191,Blue,6,40,בניגוד ל,בניגוד ל,as opposed to,as opposed to,needs_italian_review,in contrasto a; a differenza di,,in contrasto a; a differenza di,semantic_review,docker_safe,,,,
BP0040,10192,Blue,6,41,לשרת,לשרת,to serve,to serve,needs_italian_review,servire; offrire,,servire; offrire,semantic_review,docker_safe,,,,
BP0041,10193,Blue,6,42,ערום,ערום,naked,naked,needs_italian_review,nudo; completamente nudo,,nudo,,docker_safe,,,,
BP0042,10194,Blue,6,43,צלקת,צלקת,scar,scar,needs_italian_review,cicatrice (f.); ferita (f.),,,missing_from_docker_final,docker_safe,,,,
BP0043,10195,Blue,6,44,להודות ב,להודות ב,to admit to,to admit to,needs_italian_review,ammettere; confessare,,,missing_from_docker_final,docker_safe,,,,
BP0044,10196,Blue,6,45,להודות ל,להודות ל,to thank,to thank,needs_italian_review,ringraziare; dire grazie,,ringraziare; dire grazie,semantic_review,docker_safe,,,,
BP0045,10197,Blue,6,46,וודאות,וודאות,certainty,certainty,needs_italian_review,certezza (f.); sicurezza (f.),,certezza,,docker_safe,,,,
BP0046,10198,Blue,6,47,חשוד,חשוד,suspicious,suspicious,needs_italian_review,sospetto; dubbioso; malizioso,,sospetto,,docker_safe,,,,
BP0047,10199,Blue,6,48,בעד או נגד,בעד או נגד,for or against,for or against,needs_italian_review,a favore o contro; pro e contro,,a favore o contro; pro e contro,semantic_review,docker_safe,,,,
BP0048,10200,Blue,6,49,שטחי,שטחי,superficial,superficial,needs_italian_review,superficiale; apparente,,superficiale,,docker_safe,,,,
BP0049,10201,Blue,6,50,התפתחות,התפתחות,development,development,needs_italian_review,sviluppo (m.); evoluzione (f.),,sviluppo,,docker_safe,,,,
BP0050,10202,Blue,6,51,זבוב,זבוב,a fly,a fly,needs_italian_review,una mosca,,mosca,,docker_safe,,,,
BP0051,10203,Blue,6,52,לבעוט,לבעוט,to kick,to kick,needs_italian_review,calciare; dare un calcio,,calcio,,docker_safe,,,,
BP0052,10204,Blue,6,53,בעיטה,בעיטה,a kick,a kick,needs_italian_review,un calcio,,calcio,,docker_safe,,,,
BP0053,10205,Blue,6,54,הקלטה,הקלטה,a recording,a recording,needs_italian_review,una registrazione,,,missing_from_docker_final,docker_safe,,,,
BP0054,10206,Blue,6,55,להקליט,להקליט,to record,to record,needs_italian_review,registrare; annotare,,,missing_from_docker_final,docker_safe,,,,
BP0055,10207,Blue,6,56,רכילות,רכילות,gossip,gossip,needs_italian_review,pettegolezzo (m.); diceria (f.),,,missing_from_docker_final,docker_safe,,,,
BP0056,10208,Blue,6,57,לנחות,לנחות,to land,to land,needs_italian_review,atterrare; scendere,,atterrare; scendere,semantic_review,docker_safe,,,,
BP0057,10209,Blue,6,58,נחיתה,נחיתה,landing,landing,needs_italian_review,atterraggio (m.); pianerottolo (m.),,atterraggio,,docker_safe,,,,
BP0058,10210,Blue,6,59,סערה,סערה,storm,storm,needs_italian_review,tempesta (f.); temporale (m.),,tempesta,,docker_safe,,,,
BP0059,10211,Blue,6,60,תחזית,תחזית,forecast,forecast,needs_italian_review,previsione (f.); pronostico (m.),,previsione,,docker_safe,,,,
BP0060,10212,Blue,6,61,לקלוט,לקלוט,to perceive,to perceive,needs_italian_review,percepire; sentire; accorgersi,,,missing_from_docker_final,docker_safe,,,,
BP0061,10213,Blue,6,62,קליטה,קליטה,perception,perception,needs_italian_review,percezione (f.); sensazione (f.),,,missing_from_docker_final,docker_safe,,,,
BP0062,10214,Blue,6,63,בו זמנית,בו זמנית,simultaneously,simultaneously,needs_italian_review,simultaneamente; allo stesso tempo,,simultaneamente,,docker_safe,,,,
BP0063,10215,Blue,6,64,שמועה,שמועה,rumor,rumor,needs_italian_review,voce (f.); diceria (f.); pettegolezzo (m.),,voce,,docker_safe,,,,
BP0064,10216,Blue,6,65,מראה,מראה,mirror,mirror,needs_italian_review,specchio (m.),,specchio,,docker_safe,,,,
BP0065,10217,Blue,6,66,לרסס,לרסס,to spray,to spray,needs_italian_review,spruzzare; nebulizzare,,spruzzare; nebulizzare,semantic_review,docker_safe,,,,
BP0066,10218,Blue,6,67,אבטלה,אבטלה,unemployment,unemployment,needs_italian_review,disoccupazione (f.); inoccupazione (f.),,,missing_from_docker_final,docker_safe,,,,
BP0067,10219,Blue,6,68,מתנשא,מתנשא,condescending,condescending,needs_italian_review,condiscendente; altezzoso,,condiscendente,,docker_safe,,,,
BP0068,10220,Blue,6,69,תופעה,תופעה,phenomenon,phenomenon,needs_italian_review,fenomeno (m.); avvenimento (m.),,fenomeno,,docker_safe,,,,
BP0069,10221,Blue,6,70,עבריין,עבריין,criminal,criminal,needs_italian_review,criminale (m./f.); delinquente (m./f.),,criminale,,docker_safe,,,,
BP0070,10222,Blue,6,71,מגוחך,מגוחך,ridiculous,ridiculous,needs_italian_review,ridicolo; assurdo,,ridicolo,,docker_safe,,,,
BP0071,10223,Blue,6,72,שיפוטי,שיפוטי,judgmental,judgmental,needs_italian_review,giudicante; critico; moralistico,,giudicante,,docker_safe,,,,
BP0072,10224,Blue,6,73,דוגמנית,דוגמנית,model,model,needs_italian_review,modello (m.); mannequin (m.),,modello,,docker_safe,,,,
BP0073,10225,Blue,6,74,חתיך,חתיך,handsome man,handsome man,needs_italian_review,uomo bello; bell'uomo,,,missing_from_docker_final,docker_safe,,,,
BP0074,10226,Blue,6,75,חטיף,חטיף,snack,snack,needs_italian_review,spuntino (m.); merenda (f.),,spuntino,,docker_safe,,,,
BP0075,10227,Blue,6,76,להביך,להביך,to embarrass,to embarrass,needs_italian_review,imbarazzare; mettere in imbarazzo,,imbarazzare; mettere in imbarazzo,semantic_review,docker_safe,,,,
BP0076,10228,Blue,6,77,אשמה,אשמה,guilt,guilt,needs_italian_review,colpa (f.); senso di colpa,,,missing_from_docker_final,docker_safe,,,,
BP0077,10229,Blue,6,78,להתמודד,להתמודד,to deal with,to deal with,needs_italian_review,affrontare; trattare,,affrontare; trattare,semantic_review,docker_safe,,,,
BP0078,10230,Blue,6,79,להתאהב,להתאהב,to fall in love,to fall in love,needs_italian_review,innamorarsi; cadere in amore,,,missing_from_docker_final,docker_safe,,,,
BP0079,10231,Blue,6,80,מעורב,מעורב,involved,involved,needs_italian_review,coinvolto; implicato,,coinvolto,,docker_safe,,,,
BP0080,10232,Blue,6,81,יועץ,יועץ,consultant,consultant,needs_italian_review,consulente (m./f.); consiglio (m.),,consulente,,docker_safe,,,,
BP0081,10233,Blue,6,82,לטעות,לטעות,to make a mistake,to make a mistake,needs_italian_review,fare un errore; sbagliare,,errore,,docker_safe,,,,
BP0082,10234,Blue,6,83,זיעה,זיעה,sweat,sweat,needs_italian_review,sudore (m.); trasudare,,sudore,,docker_safe,,,,
BP0083,10235,Blue,6,84,לקפוץ,לקפוץ,to jump,to jump,needs_italian_review,saltare; balzare,,saltare; balzare,semantic_review,docker_safe,,,,
BP0084,10236,Blue,6,85,להקפיץ,להקפיץ,to bounce,to bounce,needs_italian_review,saltare; rimbalzare; oscillare,,saltare; rimbalzare; oscillare,semantic_review,docker_safe,,,,
BP0085,10237,Blue,6,86,למלמל,למלמל,to mumble,to mumble,needs_italian_review,borbottare; mormorare,,borbottare; mormorare,semantic_review,docker_safe,,,,
BP0086,10238,Blue,6,87,אזרח,אזרח,citizen,citizen,needs_italian_review,cittadino (m.); abitante (m.),,cittadino,,docker_safe,,,,
BP0087,10239,Blue,6,89,תחפושת,תחפושת,costume,costume,needs_italian_review,costume (m.); abito (m.),,,missing_from_docker_final,docker_safe,,,,
BP0088,10240,Blue,6,90,הלוויה,הלוויה,funeral,funeral,needs_italian_review,funerale (m.); esequie (f.),,funerale,,docker_safe,,,,
BP0089,10241,Blue,6,91,הלוואה,הלוואה,loan,loan,needs_italian_review,prestito (m.); mutuo (m.),,prestito,,docker_safe,,,,
BP0090,10242,Blue,6,92,ללחוץ ידיים,ללחוץ ידיים,to shake hands,to shake hands,needs_italian_review,stringere la mano; dare la mano,,stringere la mano; dare la mano,semantic_review,docker_safe,,,,
BP0091,10243,Blue,6,93,לעזוב,לעזוב,to leave,to leave,needs_italian_review,partire; andarsene; lasciare,,,missing_from_docker_final,docker_safe,,,,
BP0092,10244,Blue,6,94,לסבול,לסבול,to suffer,to suffer,needs_italian_review,soffrire; patire,,soffrire; patire,semantic_review,docker_safe,,,,
BP0093,10245,Blue,6,95,להכריח,להכריח,to force,to force,needs_italian_review,forzare; costringere,,forzare; costringere,semantic_review,docker_safe,,,,
BP0094,10246,Blue,6,96,לבלוע,לבלוע,to swallow,to swallow,needs_italian_review,ingoiare; deglutire,,ingoiare; deglutire,semantic_review,docker_safe,,,,
BP0095,10247,Blue,6,97,לקשור,לקשור,to tie,to tie,needs_italian_review,legare; annodata; legare un nodo,,legare; annodata; legare un nodo,semantic_review,docker_safe,,,,
BP0096,10248,Blue,6,98,להתחרט,להתחרט,to regret,to regret,needs_italian_review,pentirsi; rimpiangere,,pentirsi; rimpiangere,semantic_review,docker_safe,,,,
BP0097,10249,Blue,6,99,לירות,לירות,to shoot,to shoot,needs_italian_review,sparare; tirare; riprendere,,sparare; tirare; riprendere,semantic_review,docker_safe,,,,
BP0098,10250,Blue,6,100,כישלון,כישלון,failure,failure,needs_italian_review,fallimento (m.); insuccesso (m.),,fallimento,,docker_safe,,,,
BP0099,10251,Blue,6,101,מעניין למה,מעניין למה,wonder why..,wonder why..,needs_italian_review,mi chiedo perché; domandarsi,,,missing_from_docker_final,docker_safe,,,,
BP0100,10252,Blue,6,102,...לחכות ל,...לחכות ל,to wait for (infinitive),to wait for (infinitive),needs_italian_review,aspettare; attendere,,aspettare,,docker_safe,,,,
BP0101,10253,Blue,6,103,"מחכה, מחכה, מחכים, מחכות","מחכה, מחכה, מחכים, מחכות",to wait (present tense),to wait (present tense),needs_italian_review,aspetto; attendo,,aspettare,,docker_safe,,,,
BP0102,10254,Blue,6,104,לקוות,לקוות,to hope (infinitive),to hope (infinitive),needs_italian_review,sperare; auspicare,,,missing_from_docker_final,docker_safe,,,,
BP0103,10255,Blue,6,105,"מקווה, מקווה, מקווים, מקוות","מקווה, מקווה, מקווים, מקוות",to hope (present tense),to hope (present tense),needs_italian_review,spero; auspichiamo,,sperare,,docker_safe,,,,
BP0104,10257,Blue,6,107,"משנה, משנה, משנים, משנות","משנה, משנה, משנים, משנות",to change (present tense),to change (present tense),needs_italian_review,cambiare; trasformarsi,,cambiare,,docker_safe,,,,
BP0105,10258,Blue,6,108,נושא,נושא,subject,subject,needs_italian_review,soggetto (m.); argomento (m.); materia (f.),,,missing_from_docker_final,docker_safe,,,,
BP0106,10259,Blue,6,109,מישהי,מישהי,someone (female),someone (female),needs_italian_review,qualcuna; una persona (f.),,,missing_from_docker_final,docker_safe,,,,
BP0107,10260,Blue,6,110,סיסמה,סיסמה,password,password,needs_italian_review,password (f.); parola d'ordine,,,missing_from_docker_final,docker_safe,,,,
BP0108,10261,Blue,6,111,לאו דווקא,לאו דווקא,not necessarily / not specifically,not necessarily / not specifically,needs_italian_review,non necessariamente; non specificamente,,,missing_from_docker_final,docker_safe,,,,
BP0109,10262,Blue,6,112,כתובת,כתובת,address,address,needs_italian_review,indirizzo (m.); discorso (m.),,indirizzo,,docker_safe,,,,
BP0110,10263,Blue,6,113,את תחכי,את תחכי,you (f.s.) will wait,you (f.s.) will wait,needs_italian_review,tu (f.s.) aspetterai,,,missing_from_docker_final,docker_safe,,,,
BP0111,10265,Blue,6,115,"מנקה, מנקה, מנקים, מנקות","מנקה, מנקה, מנקים, מנקות",to clean (present tense),to clean (present tense),needs_italian_review,pulire; mondare,,teso,,docker_safe,,,,
BP0112,10266,Blue,6,116,אני אנקה,אני אנקה,I will clean,I will clean,needs_italian_review,pulirò; farò pulizia,,,missing_from_docker_final,docker_safe,,,,
BP0113,10267,Blue,6,117,אין לי ברירה,אין לי ברירה,have no choice,have no choice,needs_italian_review,non avere scelta; essere costretti,,,missing_from_docker_final,docker_safe,,,,
BP0114,10268,Blue,6,118,"מלוכלך, מלוכלכת, מלוכלכים, מלוכלכות","מלוכלך, מלוכלכת, מלוכלכים, מלוכלכות",dirty,dirty,needs_italian_review,sporco; sudicio,,,missing_from_docker_final,docker_safe,,,,
BP0115,10269,Blue,6,119,מטבח,מטבח,kitchen,kitchen,needs_italian_review,cucina (f.),,,missing_from_docker_final,docker_safe,,,,
BP0116,10270,Blue,6,120,מקרר,מקרר,fridge,fridge,needs_italian_review,frigorifero (m.); frigo (m.),,,missing_from_docker_final,docker_safe,,,,
BP0117,10272,Blue,6,122,"מכבה, מכבה, מכבים, מכבות","מכבה, מכבה, מכבים, מכבות",turn off (present),turn off (present),needs_italian_review,spengo; disattivo,,spengo; disattivo,semantic_review,docker_safe,,,,
BP0118,10273,Blue,6,123,"כיביתי, כיבית, כיבית, כבה, כבתה, כיבנו, כיביתם, כיביתן, כבו","כיביתי, כיבית, כיבית, כבה, כבתה, כיבנו, כיביתם, כיביתן, כבו",turn off (past),turn off (past),needs_italian_review,ho spento; disattivai,,ho spento; disattivai,semantic_review,docker_safe,,,,
BP0119,10274,Blue,6,124,"אכבה, תכבה, תכבי, יכבה, תכבה, נכבה, תכבו, יכבו","אכבה, תכבה, תכבי, יכבה, תכבה, נכבה, תכבו, יכבו",turn off (future),turn off (future),needs_italian_review,spegnerò; disattiverò,,spegnerò; disattiverò,semantic_review,docker_safe,,,,
BP0120,10275,Blue,6,125,"נר, נרות","נר, נרות",candle,candle,needs_italian_review,candela (f.); cero (m.),,candela,,docker_safe,,,,
BP0121,10276,Blue,6,126,מצלמה,מצלמה,camera,camera,needs_italian_review,macchina fotografica; telecamera,,,missing_from_docker_final,docker_safe,,,,
BP0122,10277,Blue,6,127,"חכה, חכי, חכו","חכה, חכי, חכו",wait for (command),wait for (command),needs_italian_review,aspetta; attendi,,,missing_from_docker_final,docker_safe,,,,
BP0123,10278,Blue,6,128,מבטא,מבטא,accent,accent,needs_italian_review,accento (m.); inflessione (f.),,,missing_from_docker_final,docker_safe,,,,
BP0124,10279,Blue,6,129,לנסות,לנסות,To try (infinitiave),To try (infinitiave),needs_italian_review,provare; cercare; tentare,,,missing_from_docker_final,docker_safe,,,,
BP0125,10280,Blue,6,130,"מנסה, מנסה, מנסים, מנסות","מנסה, מנסה, מנסים, מנסות",to try (present),to try (present),needs_italian_review,provo; cerco,,provo; cerco,semantic_review,docker_safe,,,,
BP0126,10281,Blue,6,131,"ניסיתי, ניסית, ניסית, ניסה, ניסתה, ניסינו, ניסיתם, ניסיתן, ניסו","ניסיתי, ניסית, ניסית, ניסה, ניסתה, ניסינו, ניסיתם, ניסיתן, ניסו",to try (past),to try (past),needs_italian_review,ho provato; cercai,,ho provato; cercai,semantic_review,docker_safe,,,,
BP0127,10282,Blue,6,132,"אנסה, תנסה, תנסי, ינסה, תנסה, ננסה, תנסו, ינסו","אנסה, תנסה, תנסי, ינסה, תנסה, ננסה, תנסו, ינסו",to try (future),to try (future),needs_italian_review,proverò; cercherò,,proverò; cercherò,semantic_review,docker_safe,,,,
BP0128,10283,Blue,6,133,אותו דבר,אותו דבר,the same thing,the same thing,needs_italian_review,la stessa cosa; identico,,,missing_from_docker_final,docker_safe,,,,
BP0129,10284,Blue,6,134,"הוא שינה, היא שינתה","הוא שינה, היא שינתה","he changed, she changed","he changed, she changed",needs_italian_review,lui/lei ha cambiato,,cambiare,,docker_safe,,,,
BP0130,10285,Blue,6,135,שינוי / שינויים,שינוי / שינויים,change,change,needs_italian_review,cambiamento (m.); resto (m.),,cambiare,,docker_safe,,,,
BP0131,10286,Blue,6,136,"הוא חיכה, היא חיכתה","הוא חיכה, היא חיכתה","he waited, she waited","he waited, she waited",needs_italian_review,lui/lei ha aspettato,,aspettare,,docker_safe,,,,
BP0132,10287,Blue,6,137,4 יתרון / יתרונות,4 יתרון / יתרונות,advantage,advantage,needs_italian_review,vantaggio (m.); privilegio (m.),,vantaggio,,docker_safe,,,,
BP0133,10288,Blue,6,138,₪ חיסרון / חסרונות,₪ חיסרון / חסרונות,disadvantage,disadvantage,needs_italian_review,svantaggio (m.); difetto (m.),,vantaggio,,docker_safe,,,,
BP0134,10289,Blue,6,139,לפקן,לפקן,to fix,to fix,needs_italian_review,riparare; aggiustare; fissare,,riparare; aggiustare; fissare,semantic_review,docker_safe,,,,
BP0135,10290,Blue,6,140,"מתקן, מתקנת, מתקנים, מתקנות","מתקן, מתקנת, מתקנים, מתקנות",to fix (present),to fix (present),needs_italian_review,riparare; aggiustare,,,missing_from_docker_final,docker_safe,,,,
BP0136,10291,Blue,6,141,סחם,סחם,"just kidding, just because, nothing too important","just kidding, just because, nothing too important",needs_italian_review,solo per scherzare; tanto per dire; niente di importante,,solo per scherzare; tanto per dire; niente di importante,semantic_review,docker_safe,,,,
BP0137,10292,Blue,6,142,"הוא ניקה, היא ניקתה","הוא ניקה, היא ניקתה","he cleaned, she cleaned","he cleaned, she cleaned",needs_italian_review,lui/lei ha pulito,,lui/ lei ha pulito,semantic_review,docker_safe,,,,
BP0138,10293,Blue,6,143,"תיקנתי, הוא תיקן, היא תיקנה, הם תיקנו","תיקנתי, הוא תיקן, היא תיקנה, הם תיקנו",", he, she, they fixed",", he, she, they fixed",needs_italian_review,loro hanno riparato / aggiustato,,loro hanno riparato/ aggiustato,semantic_review,docker_safe,,,,
BP0139,10294,Blue,6,144,"ניסיתי, ניסית, ניסית","ניסיתי, ניסית, ניסית","tried (I, you m, you f)","tried (I, you m, you f)",needs_italian_review,ho provato; hai provato (m./f.),,ho provato; hai provato (m./ f.),semantic_review,docker_safe,,,,
BP0140,10295,Blue,6,145,"ניסה, ניסתה","ניסה, ניסתה","tried (he, she)","tried (he, she)",needs_italian_review,lui/lei ha provato,,lui/ lei ha provato,semantic_review,docker_safe,,,,
BP0141,10296,Blue,6,146,"ניסינו, ניסיתם, ניסיתן, ניסו","ניסינו, ניסיתם, ניסיתן, ניסו","tried (we, you p.m, you pf, they)","tried (we, you p.m, you pf, they)",needs_italian_review,abbiamo provato; avete provato; hanno provato,,abbiamo provato; avete provato; hanno provato,semantic_review,docker_safe,,,,
BP0142,10297,Blue,6,147,מבאס / מבאסת,מבאס / מבאסת,sucks,sucks,needs_italian_review,fa schifo; è pessimo,,fa schifo,,docker_safe,,,,
BP0143,10298,Blue,6,148,אירוע,אירוע,event,event,needs_italian_review,evento (m.); avvenimento (m.),,,missing_from_docker_final,docker_safe,,,,
BP0144,10299,Blue,6,149,להפריע ל,להפריע ל,to disturb,to disturb,needs_italian_review,disturbare; infastidire,,,missing_from_docker_final,docker_safe,,,,
BP0145,10300,Blue,6,150,"מפריע, מפריעה, מפריעות, מפריעים","מפריע, מפריעה, מפריעות, מפריעים",disturbing (present),disturbing (present),needs_italian_review,inquietante; fastidioso; turbante,,disturbare,,docker_safe,,,,
BP0146,10301,Blue,6,151,אני הפרעתי,אני הפרעתי,disturbed,disturbed,needs_italian_review,disturbato; turbato; infastidito,,disturbare,,docker_safe,,,,
BP0147,10302,Blue,6,152,אתה הפרעת,אתה הפרעת,you disturbed (m.),you disturbed (m.),needs_italian_review,tu hai disturbato (m.),,disturbare,,docker_safe,,,,
BP0148,10303,Blue,6,153,את הפרעת,את הפרעת,you disturbed (f.),you disturbed (f.),needs_italian_review,tu hai disturbato (f.),,disturbare,,docker_safe,,,,
BP0149,10304,Blue,6,154,הוא הפריע,הוא הפריע,he disturbed,he disturbed,needs_italian_review,lui ha disturbato,,disturbare,,docker_safe,,,,
BP0150,10305,Blue,6,155,היא הפריעה,היא הפריעה,she disturbed,she disturbed,needs_italian_review,lei ha disturbato,,disturbare,,docker_safe,,,,
BP0151,10306,Blue,6,156,לטוס ל,לטוס ל,to fly to,to fly to,needs_italian_review,volare a; volare verso,,mosca,,docker_safe,,,,
BP0152,10307,Blue,6,157,סוג של,סוג של,"kind of, type of","kind of, type of",needs_italian_review,specie di; tipo di; piuttosto,,,missing_from_docker_final,docker_safe,,,,
BP0153,10308,Blue,6,158,לפנות את,לפנות את,to clear the table,to clear the table,needs_italian_review,liberare il tavolo; togliere il coperto,,,missing_from_docker_final,docker_safe,,,,
BP0154,10309,Blue,6,159,תירוץ / תירוצים,תירוץ / תירוצים,excuse,excuse,needs_italian_review,scusa (f.); pretesto (m.),,scusa,,docker_safe,,,,
BP0155,10310,Blue,6,160,להתרנל ל,להתרנל ל,to get used to,to get used to,needs_italian_review,abituarsi; avvezzarsi,,abituarsi; avvezzarsi,semantic_review,docker_safe,,,,
BP0156,10311,Blue,6,161,"מרנל, מתרגלת, מתרגלים, מתרגלות","מרנל, מתרגלת, מתרגלים, מתרגלות",used to (present),used to (present),needs_italian_review,sono abituato; ho l'abitudine,,sono abituato; ho l'abitudine,semantic_review,docker_safe,,,,
BP0157,10312,Blue,6,162,להתרנש,להתרנש,to get excited,to get excited,needs_italian_review,emozionarsi; entusiasmarsi,,eccitato,,docker_safe,,,,
BP0158,10313,Blue,6,163,"מתרגש, מתרגשת, מתרגשים, מתרגשות","מתרגש, מתרגשת, מתרגשים, מתרגשות",excited (present),excited (present),needs_italian_review,eccitato; entusiasta; emozionato,,eccitato,,docker_safe,,,,
